Date,Open,High,Low,Close,Volume
2007-06-06,110248.1875,112382.828125,109306.4296875,110248.1875,1568
2007-06-08,108929.7265625,116149.8515625,107046.21875,116149.8515625,347
2007-06-11,116024.28125,120858.6328125,114266.34375,119916.875,217
2007-06-12,116024.28125,120858.6328125,114266.34375,118661.203125,218
2007-06-13,119037.90625,120230.7890625,116777.6875,119916.875,55
2007-06-14,117405.5234375,119854.09375,115522.015625,115835.9375,26
2007-06-15,115522.015625,116149.8515625,110562.1015625,111127.15625,126
2007-06-18,111817.7734375,113010.6640625,108615.8046875,111127.15625,31
2007-06-19,110499.3203125,112382.828125,108301.890625,108301.890625,180
2007-06-20,109243.6484375,111629.421875,108615.8046875,109871.484375,147
2007-06-21,109243.6484375,110185.3984375,108615.8046875,109180.859375,67
2007-06-22,108929.7265625,112885.1015625,108615.8046875,112696.75,73
2007-06-25,110499.3203125,117405.5234375,110499.3203125,116149.8515625,83
2007-06-26,115522.015625,118661.203125,115522.015625,117405.5234375,46
2007-06-27,115522.015625,116149.8515625,113952.421875,114831.390625,86
2007-06-28,114580.2578125,118786.765625,114580.2578125,117405.5234375,90
2007-06-29,116149.8515625,122365.4375,116149.8515625,120544.7109375,82
2007-07-02,120481.9296875,128706.59375,119289.0390625,127450.921875,250
2007-07-03,126823.078125,131845.78125,125253.4921875,131783.0,80
2007-07-04,131845.78125,136240.640625,131280.71875,133101.453125,102
2007-07-05,129962.265625,133101.453125,125567.40625,128769.375,94
2007-07-06,128832.1640625,131845.78125,128706.59375,131217.9375,44
2007-07-10,131845.78125,132473.609375,123746.6796875,128078.7578125,43
2007-07-11,129334.4296875,129334.4296875,124311.734375,127450.921875,60
2007-07-12,129648.3515625,131845.78125,127450.921875,131092.375,234
2007-07-13,131217.9375,136554.5625,128706.59375,133101.453125,128
2007-07-16,132473.609375,132473.609375,130150.6171875,131217.9375,38
2007-07-17,131531.859375,134859.390625,128706.59375,134671.046875,114
2007-07-18,134984.96875,139693.734375,133101.453125,138124.15625,285
2007-07-19,139693.734375,145972.109375,139379.828125,144402.515625,114
2007-07-20,145909.328125,145972.109375,140635.5,145658.1875,90
2007-07-23,144402.515625,148797.375,143209.625,148797.375,58
2007-07-24,149111.296875,149111.296875,143146.84375,144402.515625,79
2007-07-25,148420.671875,148420.671875,139693.734375,141451.6875,33
2007-07-26,138124.15625,138124.15625,127450.921875,134357.125,136
2007-07-27,138061.359375,140635.5,131908.5625,133666.5,16
2007-07-30,138124.15625,140321.578125,129334.4296875,131845.78125,53
2007-07-31,137496.3125,137496.3125,128706.59375,130590.1015625,20
2007-08-01,128643.8125,130590.1015625,119289.0390625,125567.40625,123
2007-08-02,127388.1328125,128078.7578125,121109.765625,121109.765625,67
2007-08-03,122993.2734375,124248.953125,115522.015625,116212.6328125,58
2007-08-06,116212.6328125,122428.21875,111441.078125,122428.21875,119
2007-08-07,122428.21875,122428.21875,118033.359375,121486.46875,78
2007-08-08,120544.7109375,126823.078125,120544.7109375,121737.6015625,58
2007-08-09,122428.21875,122428.21875,119602.953125,120544.7109375,107
