Setup,Starting Capital,Trade Cost,Ending Capital,Net Profit Value,Net Profit %,Annualized Profit %,Annual Volatility %,Number of Trades,Average Return Value,Average Return %,Gain/Loss Ratio,Payoff Ratio/Factor,Max Duration,Average Duration,Min Duration,Number of Gain Trades,Win Rate %,Max Profit Value,Average Profit Value,Min Profit Value,Max Profit %,Average Profit %,Min Profit %,Max Win Trade Duration,Average Win Trade Duration,Min Win Trade Duration,Max Consecutive Wins,Average Consecutive Wins,Number of Loss Trades,Loss Rate %,Max Loss Value,Average Loss Value,Min Loss Value,Max Loss %,Average Loss %,Min Loss %,Max Loss Trade Duration,Average Loss Trade Duration,Min Loss Trade Duration,Max Consecutive Losses,Average Consecutive Losses,Maximum Drawdown Value,Maximum Drawdown %,Maximum Drawdown Duration,Average Peak Drawdown %,Average Drawdown Duration,Recovery Factor
BRAP4,0.0,0.0,10.000000000000002,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.012224938875304,6.327683615819209,10.0,0.0,0.10261194029850747
max_min_d,0.0,0.0,0.0,0.0,0.0,0.0,2.833517089305402,10.0,0.0,0.0,0.6498194945848376,10.0,0.0,0.0,0.0,10.0,10.000000000000002,1.057183522793419,0.7826491598752389,0.0057389937106918235,1.057836755132699,0.7830188679245284,0.007861635220125786,0.8447488584474886,0.3125,0.5882352941176471,10.0,10.0,10.0,4.473778951158047,10.0,10.0,0.6117885096640222,10.0,10.0,0.5851063829787235,2.6923076923076925,6.666666666666667,10.0,9.0,1.3470319634703196,1.068450189787542,10.000000000000002,10.0,8.760107816711592,2.6315789473684212,0.0
pfr_d,0.0,0.0,3.588332981876797,3.0950147589508834,3.094943495834364,7.118644067796611,1.8853362734288865,3.2158590308370045,0.039511118597946523,0.03941652041315419,2.6113116726835135,6.6071428571428585,0.26599845797995375,0.019157088122605363,0.0,2.727272727272727,8.402423469387756,2.604647436499263,2.647241925747057,2.3365566037735848,2.6051577366049075,2.647798742138365,2.3349056603773586,2.0547945205479454,1.4583333333333333,0.5882352941176471,6.666666666666667,6.6071428571428585,4.117647058823529,5.676227049081963,2.07160702855609,8.481187208615143,10.0,2.0715760495526494,8.468271334792123,9.999999999999998,5.897435897435898,5.833333333333333,5.0,5.0,2.0091324200913245,0.0697961505418877,0.0,6.186440677966102,0.0,4.56140350877193,10.0
rsi_14_d,0.0,0.0,1.9296398359486957,1.6643568071064028,1.6643295113970689,3.8274728054642044,0.0,1.8061674008810573,0.03241620718292169,0.03236758063123975,10.0,1.1904761904761905,0.29683885890516576,0.04980842911877394,0.0,0.48951048951048953,2.6578443877551026,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.1111111111111112,1.1904761904761905,4.117647058823529,10.0,2.4995010083073512,8.37721890253245,7.6183376816995905,2.4982794218857536,8.38074398249453,7.6063829787234045,10.0,10.0,5.0,10.0,10.0,0.0,0.6291768541157294,0.0,3.0727762803234504,10.0,9.300373134328359
