isin,country,name,full_name,currency,symbol
BRENBRACNOR2,brazil,ENERGIAS BR ON,EDP - Energias do Brasil SA,BRL,ENBR3
BRENGIACNPR7,brazil,ENERGISA PN,Energisa SA,BRL,ENGI4
BREQTLACNOR0,brazil,EQUATORIAL ON,Equatorial Energia SA,BRL,EQTL3
BRYDUQACNOR3,brazil,YDUQS Part ON,YDUQS Part ON,BRL,YDUQ3
BRETERACNOR3,brazil,ETERNIT ON,Eternit SA,BRL,ETER3
BREUCAACNPR8,brazil,EUCATEX PN,Eucatex SA Industria e Comercio,BRL,EUCA4
BREVENACNOR8,brazil,EVEN ON,Even Construtora e Incorporadora SA,BRL,EVEN3
BREZTCACNOR0,brazil,EZTEC ON,Ez Tec SA,BRL,EZTC3
BRFESAACNPR5,brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,BRL,FESA4
BRFHERACNOR5,brazil,FER HERINGER ON,Fertilizantes Heringer SA,BRL,FHER3
BRTASAACNPR4,brazil,Taurus Armas PN,Taurus Armas PN,BRL,TASA4
BRFLRYACNOR5,brazil,FLEURY ON,Fleury SA,BRL,FLRY3
BRFRIOACNOR2,brazil,METALFRIO ON,Metalfrio Solutions SA,BRL,FRIO3
BRTIETACNOR0,brazil,AES TIETE E ON N2,Aes Tiete Energia SA,BRL,TIET3
BRTIETACNPR7,brazil,AES TIETE E PN N2,Aes Tiete Energia SA,BRL,TIET4
BRGFSAACNOR3,brazil,GAFISA ON,Gafisa SA,BRL,GFSA3
BRGGBRACNOR1,brazil,GERDAU ON,Gerdau SA,BRL,GGBR3
BRGGBRACNPR8,brazil,GERDAU PN N1,Gerdau SA Pref,BRL,GGBR4
BRGOAUACNOR1,brazil,GERDAU MET ON,Metalurgica Gerdau SA,BRL,GOAU3
BRGOAUACNPR8,brazil,GERDAU MET PN,Metalurgica Gerdau SA,BRL,GOAU4
BRGOLLACNPR4,brazil,GOL PN N2,Gol Linhas Aereas Inteligentes SA Pref,BRL,GOLL4
BRGRNDACNOR3,brazil,GRENDENE ON,Grendene SA,BRL,GRND3
BRGSHPACNOR7,brazil,GENERALSHOPP ON,General Shopping Brasil SA,BRL,GSHP3
BRHBORACNOR3,brazil,HELBOR ON,Helbor Empreendimentos SA,BRL,HBOR3
BRHGTXACNOR9,brazil,CIA HERING ON,Cia Hering,BRL,HGTX3
BRPRIOACNOR1,brazil,PETRORIO ON NM,Petro Rio SA,BRL,PRIO3
BRHYPEACNOR0,brazil,HYPERMARCAS ON,Hypermarcas SA,BRL,HYPE3
BRIDNTACNOR5,brazil,IDEIASNET ON,IdeiasNet SA,BRL,IDNT3
BRIDVLACNPR2,brazil,INDUSVAL PN,Banco Indusval SA,BRL,IDVL4
BRIGTAACNOR5,brazil,IGUATEMI ON,IGUATEMI ON NM,BRL,IGTA3
BRMEALACNOR9,brazil,International Meal Company,International Meal Company,BRL,MEAL3
BRINEPACNOR1,brazil,INEPAR ON,Inepar SA Industria e Construcoes,BRL,INEP3
