isin,country,name,full_name,currency,symbol
BRHAGAACNPR4,brazil,Haga Pref,Haga SA Industria e Comercio Pref,BRL,HAGA4
BRHBTSACNPA3,brazil,Habitasul Pref,Companhia Habitasul de Participacoes,BRL,HBTS5
BRHETAACNPR9,brazil,Hercules Pref,Hercules SA Fabrica De Talheres,BRL,HETA4
BRHOOTACNPR9,brazil,Hoteis Othon,Hoteis Othon SA,BRL,HOOT4
BRIDVLACNOR5,brazil,BI&P,Banco Indusval SA,BRL,IDVL3
BRJBDUACNOR6,brazil,Industrias JBDuarte,Industrias JB Duarte SA,BRL,JBDU3
BRJBDUACNPR3,brazil,Industrias JBDuarte Pref,Industrias JB Duarte SA Pref,BRL,JBDU4
BRJOPAACNOR5,brazil,Josapar Joaquim Oliveira,Josapar Joaquim Oliveira SA Participacoes,BRL,JOPA3
BRJOPAACNPR2,brazil,Josapar Joaquim Oliveira Pref,Josapar Joaquim Oliveira SA Participacoes Pref,BRL,JOPA4
BRKLBNACNOR2,brazil,KLABIN S/A ON N2,Klabin SA,BRL,KLBN3
BRMENDACNPA2,brazil,Mendes Junior Engenharia,Mendes Junior Engenharia SA,BRL,MEND5
BRMNDLACNOR4,brazil,Mundial,Mundial SA Produtos de Consumo,BRL,MNDL3
BRMNPRACNOR5,brazil,Minupar Participacoes,Minupar Participacoes SA,BRL,MNPR3
BRMTSAACNPR9,brazil,METISA Pref,METISA Metalurgica Timboense SA Pref,BRL,MTSA4
BRMWETACNPR3,brazil,Wetzel Pref,Wetzel SA Pref,BRL,MWET4
BRDMMOTNO002,brazil,Ogx Petroleo e Gas,Ogx Petroleo e Gas SA em Recuperacao Judicial,BRL,DMMO3T
BRPEABACNPR0,brazil,Alianca da Bahia Pref,Companhia de Participacoes Alianca da Bahia,BRL,PEAB4
BRPNVLACNOR9,brazil,Dimed,Dimed SA Distribuidora De Medicamentos,BRL,PNVL3
BRPNVLACNPR6,brazil,Dimed Pref,Dimed SA Distribuidora De Medicamentos Pref,BRL,PNVL4
BRRANIACNOR5,brazil,Celulose Irani,Celulose Irani SA,BRL,RANI3
BRRANIACNPR2,brazil,Celulose Irani Pref,Celulose Irani SA Pref,BRL,RANI4
BRRCSLACNOR4,brazil,Recrusul,Recrusul SA,BRL,RCSL3
BRRCSLACNPR1,brazil,Recrusul Pref,Recrusul SA Pref,BRL,RCSL4
BRREDEACNOR7,brazil,Rede Energia,Rede Energia SA,BRL,REDE3
BRRPADACNPA4,brazil,Alfa Holdings Pref A,Alfa Holdings SA Pref A,BRL,RPAD5
BRRPADACNPB2,brazil,Alfa Holdings Pref B,Alfa Holdings SA Pref B,BRL,RPAD6
BRSEERTNO007,brazil,Ser Educacional,Ser Educacional SA,BRL,SEER3T
BRWLMMACNOR6,brazil,WLM Industria e Comercio,WLM Industria e Comercio SA,BRL,WLMM3
BRWLMMACNPR3,brazil,WLM Industria e Comercio,WLM Industria e Comercio SA,BRL,WLMM4
BRSLEDACNOR0,brazil,Saraiva,Saraiva SA Livreiros Editores,BRL,SLED3
BRSMLSTNO003,brazil,Smiles Fidelidade,Smiles Fidelidade SA,BRL,SMLS3T
BRSONDACNPA8,brazil,Sondotecnica Pref A,Sondotecnica Engenharia de Solos SA Pref A,BRL,SOND5
BRSONDACNPB6,brazil,Sondotecnica Pref B,Sondotecnica Engenharia de Solos SA Pref B,BRL,SOND6
BRSPRIACNOR2,brazil,Springer,Springer SA,BRL,SPRI3
BRTCNOACNPR2,brazil,Tecnosolo Pref,Tecnosolo Engenharia SA,BRL,TCNO4
BRTELBACNOR2,brazil,Telebras,Telecomunicacoes Brasileiras SA Telebras,BRL,TELB3
BRTOYBACNPR1,brazil,Tec Toy Pref,Tec Toy SA Pref,BRL,TOYB4
BRTRPLACNOR4,brazil,CTEEP,CTEEP Companhia de Transmissao de Energia Eletrica Paulista,BRL,TRPL3
BRUNIPACNPA0,brazil,Unipar Carbocloro Pref,Unipar Carbocloro SA Pref,BRL,UNIP5
BRUSIMACNPB4,brazil,USIMINAS PNB,Usinas Siderurgicas de Minas Gerais SA Usiminas Pref,BRL,USIM6
BRVULCACNOR2,brazil,Vulcabras Azaleia,Vulcabras Azaleia SA,BRL,VULC3
BRVVARACNOR1,brazil,Via Varejo,Via Varejo SA,BRL,VVAR3
BRWHRLACNPR2,brazil,Whirlpool Pref,Whirlpool SA Pref,BRL,WHRL4
BRMRSAACNPB7,brazil,MRS Logistica B,MRS Logistica SA Class B,BRL,MRSA6BF
BRENMAACNOR5,brazil,CEMAR,Companhia Energetica do Maranhao CEMAR,BRL,ENMA3B
BRAALRACNOR6,brazil,Centro de Imagem Diagnosticos,Centro de Imagem Diagnosticos SA,BRL,AALR3
BRAFLTACNOR1,brazil,Afluente Transmissao de Energia,Afluente Transmissao de Energia Eletrica SA,BRL,AFLT3
BRBGIPACNOR1,brazil,Banco do Estado de Sergipe,Banco do Estado de Sergipe SA,BRL,BGIP3
BRCEBRACNOR5,brazil,CEB,Companhia Energetica de Brasilia CEB,BRL,CEBR3
BRCEDOACNOR8,brazil,Cedro Cachoeira,Companhia de Fiacao e Tecidos Cedro Cachoeira,BRL,CEDO3
BRGPARACNOR4,brazil,Celgpar,Companhia Celg de Participacoes Celgpar,BRL,GPAR3
BRMAPTACNOR8,brazil,Cemepe Investimentos,Cemepe Investimentos SA,BRL,MAPT3
BRMMXMTRV000,brazil,MMX Mineracao e Metalicos,MMX Mineracao e Metalicos SA,BRL,MMXM11
BRPATIACNPR3,brazil,Panatlantica,Panatlantica SA,BRL,PATI4
BRRPADACNOR1,brazil,Alfa Holdings,Alfa Holdings SA,BRL,RPAD3
BRVSPTACNOR1,brazil,Ferrovia Centro Atlantica,Ferrovia Centro Atlantica SA,BRL,VSPT3
BRPOMOR02PR0,brazil,Marcopolo,Marcopolo SA Pref,EUR,POMO10
BRMOVIACNOR0,brazil,Movida Participacoes,Movida Participacoes SA,BRL,MOVI3
BRPARDACNOR1,brazil,Instituto Hermes Pardini,Instituto Hermes Pardini SA,BRL,PARD3
BRBPACUNT006,brazil,Banco BTG,Banco BTG Pactual SA,BRL,BPAC11
BRPPLAUNT007,brazil,BTG Pactual Unit,BTG Pactual Participations Ltd Unit,BRL,PPLA11
BRRNEWACNOR8,brazil,Renova Energia,Renova Energia SA,BRL,RNEW3
BRRNEWACNPR5,brazil,Renova Energia Pref,Renova Energia SA Pref,BRL,RNEW4
BRAZULACNPR4,brazil,Azul SA Pref,Azul SA Pref,BRL,AZUL4
BRTENDACNOR4,brazil,Tenda,Construtora Tenda SA,BRL,TEND3
BRCRFBACNOR2,brazil,Atacadao,Atacadao SA,BRL,CRFB3
BROMGEACNOR0,brazil,Omega Geracao,Omega Geracao SA,BRL,OMGE3
BRIRBRACNOR4,brazil,IRB Brasil Resseguros,IRB Brasil Resseguros SA,BRL,IRBR3
BRGEPAACNOR2,brazil,Rio Paranapanema Energia,Rio Paranapanema Energia SA,BRL,GEPA3
BRSAPRACNOR9,brazil,SANEPAR ON N2,Companhia de Saneamento do Parana Sanepar,BRL,SAPR3
BRCAMLACNOR3,brazil,Camil Alimentos,Camil Alimentos SA,BRL,CAML3
BRSUZBACNOR0,brazil,Suzano Papel Celulose,Suzano Papel e Celulose SA,BRL,SUZB3
BRSAPRCDAM13,brazil,Parana Sanepar Unit,Companhia de Saneamento do Parana Sanepar Unit,BRL,SAPR11
BRBRDTACNOR1,brazil,Petrobras Distribuidora,Petrobras Distribuidora SA,BRL,BRDT3
BRNEOEACNOR3,brazil,NEOENERGIA,NEOENERGIA SA,BRL,NEOE3
BRBKBRACNOR4,brazil,BK BRASIL OPERACAO,BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES SA,BRL,BKBR3
BRGFSAD04OR2,brazil,Gafisa,Gafisa SA,BRL,GFSA1
BRTXRXACNPR0,brazil,Textil Renauxview Pref,Textil Renauxview SA Pref,BRL,TXRX4
BRMSPAACNOR0,brazil,Companhia Melhoramentos,Companhia Melhoramentos de Sao Paulo,BRL,MSPA3
BRHAPVACNOR4,brazil,Hapvida,Hapvida Participacoes e Investimentos,BRL,HAPV3
BRGNDIACNOR2,brazil,Notre Dame,Notre Dame Intermedica Participacoes,BRL,GNDI3
BRBIDIACNPR0,brazil,Banco Inter PN,Banco Inter SA Pref,BRL,BIDI4
BRJPSAACNOR6,brazil,Jereissati Participacoes,Jereissati Participacoes SA,BRL,JPSA3
BRTAEEACNPR6,brazil,TAEE Pref,Transmissora Alianca de Energia Eletrica SA Pref,BRL,TAEE4
BRBIDITNP002,brazil,Banco Inter PN Termo,Banco Inter PN Termo,BRL,BIDI4T
BRALUPACNOR8,brazil,Alupar Invest,Alupar Investimento SA,BRL,ALUP3
BRALUPACNPR5,brazil,Alupar Invest Pref,Alupar Investimento SA Pref,BRL,ALUP4
BRLOGGACNOR7,brazil,Log Commercial Properties,Log Commercial Properties e Participacoes SA,BRL,LOGG3
BRTASAN01PR8,brazil,Taurus Armas Right Series B,Taurus Armas Right Series B,BRL,TASA13
BRTASAN03PR4,brazil,Taurus Armas Right Series C,Taurus Armas Right Series C,BRL,TASA15
BRTASAN02PR6,brazil,Taurus Armas Right Series D,Taurus Armas Right Series D,BRL,TASA17
BRTAEEACNOR9,brazil,TAEE 3,Transmissora Alianca de Energia Eletrica SA,BRL,TAEE3
BRDMMON01OR4,brazil,Dommo Energia,Dommo Energia SA,BRL,DMMO11
BRAZEVACNOR0,brazil,Azevedo Travassos,Azevedo & Travassos SA,BRL,AZEV3
BRAHEBACNOR0,brazil,Sao Paulo Turismo,Sao Paulo Turismo SA,BRL,AHEB3
BRBALMACNOR5,brazil,Baumer,Baumer SA,BRL,BALM3
BRBPACACNOR7,brazil,Banco BTG Pactual,Banco BTG Pactual SA,BRL,BPAC3
BREALTACNOR4,brazil,Electro Aco Altona,Electro Aco Altona SA,BRL,EALT3
BRECPRACNOR5,brazil,Encorpar,Empresa Nacional de Comercio Redito e Participacoes SA Encorpar,BRL,ECPR3
BRHAGAACNOR7,brazil,Haga Industria Comercio,Haga SA Industria e Comercio,BRL,HAGA3
BRITECACNOR6,brazil,Itautec,Itautec SA Grupo Itautec,BRL,ITEC3
BRLIPRACNOR7,brazil,Eletrobras Eletropar,Eletrobras Participacoes SA Eletropar,BRL,LIPR3
BRPATIACNOR6,brazil,Panatlantica,Panatlantica SA,BRL,PATI3
BRPEABACNOR3,brazil,Alianca Bahia,Companhia de Participacoes Alianca da Bahia,BRL,PEAB3
BRSULAACNOR2,brazil,Sul America Pref,Sul America SA Pref,BRL,SULA3
BRBPACACNPA0,brazil,Banco BTG Pactual Pref,Banco BTG Pactual SA Pref,BRL,BPAC5
BRBRGEACNPE1,brazil,Alfa Administracao Pref E,Consorcio Alfa de Administracao SA Pref Series E,BRL,BRGE11
BRBRGEACNPF8,brazil,Alfa Administracao Pref F,Consorcio Alfa de Administracao SA Pref Series F,BRL,BRGE12
BRBRGEACNPB7,brazil,Alfa Administracao Pref,Consorcio Alfa de Administracao SA Pref,BRL,BRGE6
BRCELPACNPB9,brazil,Eletricas Para CELPA Pref B,Centrais Eletricas do Para SA CELPA Pref Series B,BRL,CELP6
BRCELPACNPC7,brazil,Eletricas Para CELPA Pref  C,Centrais Eletricas do Para SA CELPA Pref Series C,BRL,CELP7
BRCORRACNPR7,brazil,Correa Ribeiro,Correa Ribeiro SA Comercio e Industria,BRL,CORR4
BREEELACNPR5,brazil,Estadual Geracao Transmissao,Companhia Estadual de Geracao e Transmissao de Energia Eletrica CEEE GT,BRL,EEEL4
BRENMTACNPR2,brazil,Energisa Mato Grosso,Energisa Mato Grosso Distribuidora de Energia SA,BRL,ENMT4
BRLUXMACNPR4,brazil,Trevisa Invest,Trevisa Investimentos SA,BRL,LUXM4
BRMENDACNPB0,brazil,Mendes Junior,Mendes Junior Engenharia SA,BRL,MEND6
BRMERCACNPR9,brazil,Mercantil Brasil Financeira,Mercantil do Brasil Financeira SA Credito Financiamento e Investimentos,BRL,MERC4
BRRSULACNPR3,brazil,Metalurgica Riosulense,Metalurgica Riosulense SA,BRL,RSUL4
BRSULAACNPR9,brazil,Sul America,Sul America SA,BRL,SULA4
BRBEEFN02OR8,brazil,Minerva,Minerva SA,BRL,BEEF11
BRJBDUD16OR9,brazil,Industrias JB Duarte Right 1,Industrias JB Duarte SA Right 1,BRL,JBDU1
BRJBDUD16PR6,brazil,Industrias JB Duarte Right 2,Industrias JB Duarte SA Right 2,BRL,JBDU2
BRLOGNN01OR7,brazil,Log-in Logistica Right,Log-in Logistica Intermodal SA Right,BRL,LOGN12
BRMYPKN02OR9,brazil,Iochpe Maxion Right 12,Iochpe Maxion SA Right 12,BRL,MYPK12
BRCNTOACNOR5,brazil,Grupo SBF,Grupo SBF,BRL,CNTO3
BRVAMOACNOR7,brazil,Grupo Vamos,Grupo Vamos SA,BRL,VAMO3
BRCAMBR03PR2,brazil,Cambuci Pref,Cambuci SA Pref,BRL,CAMB10
BRIDVLR05OR1,brazil,Banco Indusval,Banco Indusval SA,BRL,IDVL9
BRMOARACNOR5,brazil,Monteiro Aranha,Monteiro Aranha SA,BRL,MOAR3
BRMRSAACNOR6,brazil,MRS Logistica,MRS Logistica SA,BRL,MRSA3B
BRBIDICDAXX3,brazil,Banco Inter Unit,Banco Inter Unit,BRL,BIDI11
BRBIDIACNOR3,brazil,Banco Inter ON,Banco Inter ON,BRL,BIDI3
BRTIETD02PR0,brazil,Aes Tiete Energia Pref Rights,Aes Tiete Energia Pref Rights,BRL,TIET2
BRVIVAACNOR0,brazil,Vivara,Vivara Participacoes SA,BRL,VIVA3
BRCEABACNOR1,brazil,C A Modas SA,C A Modas SA,BRL,CEAB3
BRBMGBCDAM17,brazil,Banco BMG Unit,Banco BMG Unit,BRL,BMGB11
BRBMGBACNPR0,brazil,Banco BMG ON,Banco BMG ON,BRL,BMGB4
