,Empresa,Tipo Ação,Código,Índice
410,RANDON PART,ON   N1,RAPT3,IGCX
411,RANDON PART,PN   N1,RAPT4,"AGFS,IBRA,IDIV,IGCT,IGCX,INDX,ITAG,SMLL"
414,REDE D OR,ON   NM,RDOR3,"IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
416,RNI,ON   NM,RDNI3,"IGCX,IGNM,ITAG"
418,ROMI,ON   NM,ROMI3,"IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL"
419,RUMO S.A.,ON   NM,RAIL3,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
420,SABESP,ON   NM,SBSP3,"GPTW,IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL"
422,SANEPAR,UNT  N2,SAPR11,"IBRA,IGCT,IGCX,ISEE,ITAG,SMLL,UTIL"
424,SANTANDER BR,UNT,SANB11,"GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IFNC,ISEE,ITAG,MLCX"
425,SANTOS BRP,ON   NM,STBP3,"GPTW,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
426,SAO CARLOS,ON   NM,SCAR3,"IGCX,IGNM,ITAG"
427,SAO MARTINHO,ON   NM,SMTO3,"AGFS,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL"
430,SEQUOIA LOG,ON   NM,SEQL3,"IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
431,SER EDUCA,ON   NM,SEER3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
434,SID NACIONAL,ON,CSNA3,"IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IMAT,INDX,IVBX,MLCX"
436,SIMPAR,ON   NM,SIMH3,"IBRA,IBXX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
437,SINQIA,ON   NM,SQIA3,"GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
439,SLC AGRICOLA,ON   NM,SLCE3,"AGFS,GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL"
440,SMART FIT,ON   NM,SMFT3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
443,SPRINGS,ON   NM,SGPS3,"IGCX,IGNM,ITAG"
445,SUZANO S.A.,ON   NM,SUZB3,"AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,IVBX,MLCX"
446,SYN PROP TEC,ON   NM,SYNE3,"IGCX,IGNM,ITAG"
447,TAESA,UNT  N2,TAEE11,"GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ITAG,IVBX,SMLL,UTIL"
451,TAURUS ARMAS,ON   N2,TASA3,"IGCX,ITAG"
452,TAURUS ARMAS,PN   N2,TASA4,"IBRA,IGCT,IGCX,INDX,ITAG,SMLL"
453,TC,ON   NM,TRAD3,"GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL"
454,TECHNOS,ON   NM,TECN3,"IGCX,IGNM,ITAG"
455,TECNISA,ON   NM,TCSA3,"IGCX,IGNM,ITAG"
456,TEGMA,ON   NM,TGMA3,"IGCX,IGNM,ITAG"
458,TELEF BRASIL,ON,VIVT3,"GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,ISEE,IVBX,MLCX"
460,TENDA,ON   NM,TEND3,"IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL"
461,TERRASANTAPA,ON   NM,LAND3,"IGCX,IGNM,ITAG"
465,TIM,ON   NM,TIMS3,"GPTW,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
466,TIME FOR FUN,ON   NM,SHOW3,"IGCX,IGNM,ITAG"
467,TOTVS,ON   NM,TOTS3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
469,TRACK FIELD,PN   N2,TFCO4,"IGCX,ITAG"
471,TRAN PAULIST,ON   N1,TRPL3,IGCX
472,TRAN PAULIST,PN   N1,TRPL4,"IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,MLCX,UTIL"
474,TRISUL,ON   NM,TRIS3,"IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL"
475,TUPY,ON   NM,TUPY3,"AGFS,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL"
477,ULTRAPAR,ON   NM,UGPA3,"GPTW,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX"
478,UNICASA,ON   NM,UCAS3,"IGCX,IGNM,ITAG"
479,UNIFIQUE,ON   NM,FIQE3,"IGCX,IGNM,ITAG"
481,UNIPAR,PNB,UNIP6,"GPTW,IBRA,IDIV,IMAT,INDX,SMLL"
484,USIMINAS,ON   N1,USIM3,IGCX
485,USIMINAS,PNA  N1,USIM5,"IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,INDX,ISEE,IVBX,SMLL"
486,VALE,ON   NM,VALE3,"IBOV,IBRA,IBXL,IBXX,IDIV,IGCT,IGCX,IGNM,IMAT,ITAG,MLCX"
487,VALID,ON   NM,VLID3,"IGCX,IGNM,ITAG"
488,VAMOS,ON   NM,VAMO3,"AGFS,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX"
490,VIA,ON   NM,VIIA3,"GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL"
491,VIBRA,ON   NM,VBBR3,"IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX"
493,VITTIA,ON   NM,VITT3,"IGCX,IGNM,ITAG"
494,VIVARA S.A.,ON   NM,VIVA3,"IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL"
495,VIVEO,ON   NM,VVEO3,"IGCX,IGNM,ITAG"
496,VULCABRAS,ON   NM,VULC3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
499,WDC NETWORKS,ON   NM,LVTC3,"IGCX,IGNM,ITAG"
500,WEG,ON   NM,WEGE3,"IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,MLCX"
502,WESTWING,ON   NM,WEST3,"IGCX,IGNM,ITAG"
503,WILSON SONS,ON   NM,PORT3,"IGCX,IGNM,ITAG"
504,WIZ CO,ON   NM,WIZC3,"GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL"
505,YDUQS PART,ON   NM,YDUQ3,"IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
506,ZAMP S.A.,ON   NM,ZAMP3,"IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL"
