Date,Open,High,Low,Close,Volume,BB20TL,BB20ML,BB20BL,buy_sell,price
2012-06-11,359.90643310546875,390.5367431640625,346.8885192871094,382.8791809082031,111562,417.30971194059816,371.81396331787107,326.318214695144,B,371.40279174804687
2012-06-18,375.2215881347656,394.5569763183594,350.3344421386719,350.3344421386719,109384,416.75685845679243,370.42602691650393,324.09519537621543,S,371.82396331787106
2013-09-02,368.5212097167969,378.47607421875,354.1632385253906,363.7352294921875,131506,462.13242441047623,409.94873199462893,357.7650395787816,B,371.40279174804687
2013-10-14,389.0052490234375,399.9172973632813,380.1990051269531,395.32275390625,36734,440.87742248865493,396.6245376586914,352.37165282872786,S,397.51515899658204
2014-03-24,302.857421875,318.55548095703125,299.6029663085937,313.00372314453125,53681,393.48852831081,341.3559280395508,289.2233277682916,B,304.207509765625
2014-03-31,248.29714965820312,256.529052734375,162.72364807128906,170.3812255859375,747101,420.3629342436722,331.20962982177736,242.0563253998825,S,277.57740234375
2017-06-26,16.033065795898438,16.463804244995117,15.506606101989746,16.167072296142578,222626,20.427942133249367,17.860834312438964,15.293726491628563,B,16.464231262207033
2017-09-04,15.870341300964355,16.999834060668945,15.870341300964355,16.348939895629883,179063,18.40432932815498,16.37861337661743,14.352897425079883,S,16.554687271118166
2017-10-23,15.611898422241213,15.765049934387209,14.836567878723145,15.564038276672363,364916,16.58205931184098,15.685123491287232,14.788187670733487,B,15.61232639312744
2017-10-30,15.229019165039062,15.68847370147705,14.578124046325684,15.554466247558594,255013,16.571087668581853,15.67363715171814,14.776186634854424,S,15.695123491287232
2017-12-18,10.356881141662598,13.209330558776855,10.356881141662598,11.811821937561035,451732,18.460011041404506,14.227311134338379,9.994611227272253,B,10.874195823669433
2018-03-12,11.141782760620115,11.89797019958496,11.141782760620115,11.486374855041504,212180,14.617201805891572,11.19969391822815,7.782186030564728,S,11.413577089309692
2019-10-21,23.309999465942383,24.5,23.030000686645508,23.649999618530277,114500,27.912202954941243,24.80719757080078,21.70219218666032,B,23.76
2019-11-11,22.450000762939453,24.920000076293945,22.3700008392334,23.5,129000,27.885372348233815,24.581328010559083,21.27728367288435,S,24.679829273223877
2020-04-06,14.23008155822754,18.268983840942383,13.901333808898926,18.034162521362305,157247,37.019038906965164,25.01624116897583,13.013443430986502,B,17.574523696899416
2020-06-08,20.03482818603516,23.99858665466309,18.785585403442383,22.354848861694336,2545780,30.07683347501949,20.39640998840332,10.71598650178715,S,20.796167526245117
