Date,Open,High,Low,Close,Volume,BB20TL,BB20ML,BB20BL,buy_sell,price
2000-02-04,5199.47998046875,5599.43994140625,5199.47998046875,5399.4599609375,113911,6293.179845727102,5630.436987304687,4967.694128882273,B,5299.48021484375
2000-02-08,5449.455078125,6299.3701171875,5449.455078125,6249.375,597659,6261.900538638818,5605.939453125,4949.978367611182,S,5593.450698242188
2000-09-29,8699.1298828125,8699.1298828125,8119.18798828125,8149.18505859375,114211,9885.110011430224,9047.595239257813,8210.080467085401,B,8649.144765625
2000-10-02,8179.18212890625,8499.150390625,8049.1953125,8099.18994140625,59305,9910.688673768438,8987.10126953125,8063.513865294061,S,8099.17994140625
2000-10-27,6679.33203125,6849.31494140625,6399.35986328125,6699.330078125,82408,8836.686996982811,7456.754321289062,6076.821645595313,B,6679.33203125
2000-11-03,6329.3671875,6329.3671875,5699.43017578125,5929.4072265625,182218,8528.865114496746,7019.798046875,5510.730979253254,S,5749.41529296875
2001-03-08,8709.12890625,9169.0830078125,8609.138671875,8709.12890625,94409,9523.760563920183,9103.58955078125,8683.418537642316,B,9049.1047265625
2001-03-09,8699.1298828125,8989.1015625,8599.1396484375,8989.1015625,89008,9514.664800927263,9093.590576171875,8672.516351416487,S,8749.115
2001-03-26,7499.25,7759.22412109375,7499.25,7499.25,88708,9689.316304259326,8464.653515625,7239.990726990673,B,7599.250234375
2001-04-03,7139.2861328125,7249.27490234375,6809.31884765625,7139.2861328125,127212,9141.961170214072,7951.204907226563,6760.4486442390535,S,6999.29029296875
2001-05-17,6189.380859375,6369.36328125,6019.39794921875,6189.380859375,63606,7764.558408625263,6825.817407226563,5887.076405827863,B,6149.39525390625
2001-05-23,6189.380859375,6189.380859375,5709.42919921875,5879.412109375,196519,7694.761193176949,6625.337451171875,5555.913709166801,S,5729.41724609375
2001-07-10,6279.3720703125,6279.3720703125,5749.42529296875,5839.416015625,89608,7009.636527436565,6424.35751953125,5839.078511625934,B,5999.40990234375
