Date,Open,High,Low,Close,Volume,EMA9,buy_sell,price
2020-11-02,14.899999618530272,16.5,14.539999961853027,15.390000343322754,8894400,14.943102310689293,B,15.51
2020-11-09,15.800000190734863,15.9399995803833,14.050000190734863,14.90999984741211,10114600,14.936481818033856,S,14.139999618530272
2020-11-23,15.100000381469728,16.260000228881836,14.869999885559082,16.149999618530273,7923700,15.2005482384196,B,15.180000076293943
2020-12-21,14.800000190734863,15.1899995803833,14.510000228881836,15.1899995803833,4314000,15.218192472580206,S,14.92000030517578
2021-01-04,16.389999389648438,16.8700008392334,15.170000076293944,15.979999542236328,6760300,15.545243005449382,B,16.39999938964844
2021-03-01,17.0,17.420000076293945,15.25,16.829999923706055,14674400,17.215143866275504,S,16.559999694824217
2021-04-19,16.579999923706055,17.799999237060547,16.3799991607666,17.079999923706055,6103400,16.388488683744548,B,16.79000068664551
2021-08-02,21.950000762939453,22.549999237060547,20.75,21.299999237060547,12118200,22.32665888488455,S,21.360000839233397
2022-03-28,9.420000076293944,10.9399995803833,9.25,10.850000381469728,16374700,9.023031422583026,B,9.480000267028808
2022-05-02,8.59000015258789,8.75,7.25,7.46999979019165,16666800,8.866513361875494,S,7.2900001907348635
2022-08-08,8.0600004196167,8.479999542236328,7.349999904632568,8.079999923706055,17528900,7.039170616963226,B,8.110000381469726
2022-09-05,6.909999847412109,7.110000133514404,6.349999904632568,6.590000152587891,11386600,6.910364368326303,S,6.700000038146973
2023-03-13,3.900000095367432,4.429999828338623,3.869999885559082,4.019999980926514,24894300,3.898635463858954,B,4.379999885559082
2023-03-20,4.0,4.059999942779541,3.4100000858306885,3.549999952316284,26078700,3.8289083615504205,S,3.6700000667572024
